Distribution r(n); n < 10^4.

Obtained (r(n), total n) :
(0: 4257), (>0: 5742), (1: 4995), (2: 747).

Where the sum of 0 and even values is almost equal 
to that of odd values, as conjectured.

Notes:
a, b : number of solutions to each eqn.
m, q : m=(a mod b); q=(a / b) as rational number.

r(n)     n   a   b   m   q  core(n)
   0  5081 464 236 228  -1  5081
   0  5082   8   0  -1  -1    42
   0  5083  96  32   0   3  5083
   1  5084   0   0  -1  -1  1271
   1  5085   0   0  -1  -1   565
   1  5086   0   0  -1  -1  5086
   1  5087   0   0  -1  -1  5087
   1  5088   0   0  -1  -1   318
   0  5089 128  80  48  -1  5089
   0  5090 104  56  48  -1  5090
   0  5091 168  80   8  -1  5091
   0  5092  80  60  20  -1  1273
   1  5093   0   0  -1  -1  5093
   1  5094   0   0  -1  -1   566
   1  5095   0   0  -1  -1  5095
   0  5096  12   4   0   3    26
   0  5097 144  60  24  -1  5097
   0  5098  44  20   4  -1  5098
   0  5099 468 228  12  -1  5099
   0  5100  24  16   8  -1    51
   1  5101   0   0  -1  -1  5101
   1  5102   0   0  -1  -1  5102
   1  5103   0   0  -1  -1     7
   1  5104   0   0  -1  -1   319
   2  5105 288 144   0   2  5105
   0  5106 160  88  72  -1  5106
   0  5107  84  44  40  -1  5107
   1  5108   0   0  -1  -1  1277
   1  5109   0   0  -1  -1  5109
   1  5110   0   0  -1  -1  5110
   1  5111   0   0  -1  -1  5111
   1  5112   0   0  -1  -1   142
   0  5113 176 100  76  -1  5113
   0  5114 140  76  64  -1  5114
   2  5115 192  96   0   2  5115
   1  5116   0   0  -1  -1  1279
   1  5117   0   0  -1  -1  5117
   1  5118   0   0  -1  -1  5118
   1  5119   0   0  -1  -1  5119
   1  5120   0   0  -1  -1     5
   0  5121 128  56  16  -1   569
   0  5122  56  32  24  -1  5122
   0  5123 312 136  40  -1  5123
   0  5124  96  56  40  -1  1281
   1  5125   0   0  -1  -1   205
   1  5126   0   0  -1  -1  5126
   1  5127   0   0  -1  -1  5127
   2  5128  24  12   0   2  1282
   0  5129 352 168  16  -1  5129
   0  5130  32   8   0   4   570
   0  5131 120  56   8  -1  5131
   0  5132 132  52  28  -1  1283
   1  5133   0   0  -1  -1  5133
   1  5134   0   0  -1  -1  5134
   1  5135   0   0  -1  -1  5135
   0  5136  80  44  36  -1   321
   0  5137 112  52   8  -1  5137
   2  5138 128  64   0   2  5138
   0  5139  60  36  24  -1   571
   1  5140   0   0  -1  -1  1285
   1  5141   0   0  -1  -1  5141
   1  5142   0   0  -1  -1  5142
   1  5143   0   0  -1  -1  5143
   1  5144   0   0  -1  -1  1286
   0  5145  32   8   0   4   105
   0  5146  72  40  32  -1  5146
   0  5147 228 108  12  -1  5147
   1  5148   0   0  -1  -1   143
   1  5149   0   0  -1  -1  5149
   1  5150   0   0  -1  -1   206
   1  5151   0   0  -1  -1  5151
   0  5152  16   0  -1  -1   322
   0  5153 144  68   8  -1  5153
   0  5154  80  36   8  -1  5154
   0  5155 144  80  64  -1  5155
   0  5156 144  76  68  -1  1289
   1  5157   0   0  -1  -1   573
   1  5158   0   0  -1  -1  5158
   1  5159   0   0  -1  -1  5159
   0  5160  32   8   0   4  1290
   2  5161 160  80   0   2  5161
   0  5162 136  80  56  -1  5162
   0  5163 120  48  24  -1  5163
   0  5164 108  68  40  -1  1291
   1  5165   0   0  -1  -1  5165
   1  5166   0   0  -1  -1   574
   1  5167   0   0  -1  -1  5167
   2  5168  48  24   0   2   323
   0  5169 304 148   8  -1  5169
   0  5170  80  24   8  -1  5170
   0  5171 420 196  28  -1  5171
   1  5172   0   0  -1  -1  1293
   1  5173   0   0  -1  -1  5173
   1  5174   0   0  -1  -1  5174
   1  5175   0   0  -1  -1    23
   1  5176   0   0  -1  -1  1294
   0  5177 224 136  88  -1  5177
   0  5178  96  32   0   3  5178
   0  5179 132  68  64  -1  5179
   1  5180   0   0  -1  -1  1295
   1  5181   0   0  -1  -1  5181
   1  5182   0   0  -1  -1  5182
   1  5183   0   0  -1  -1  5183
   0  5184   2   2   0   1     1
   2  5185 128  64   0   2  5185
   0  5186 224 120 104  -1  5186
   0  5187 192  80  32  -1  5187
   0  5188  48  12   0   4  1297
   1  5189   0   0  -1  -1  5189
   1  5190   0   0  -1  -1  5190
   1  5191   0   0  -1  -1  5191
   0  5192  64  28   8  -1  1298
   0  5193  32  24   8  -1   577
   0  5194  12   4   0   3   106
   2  5195 192  96   0   2  5195
   0  5196  96  56  40  -1  1299
   1  5197   0   0  -1  -1  5197
   1  5198   0   0  -1  -1  5198
   1  5199   0   0  -1  -1  5199
   1  5200   0   0  -1  -1    13
   0  5201 384 176  32  -1  5201
   0  5202   2   2   0   1     2
   0  5203  12  12   0   1    43
   1  5204   0   0  -1  -1  1301
   1  5205   0   0  -1  -1  5205
   1  5206   0   0  -1  -1  5206
   1  5207   0   0  -1  -1  5207
   1  5208   0   0  -1  -1  1302
   0  5209 176  68  40  -1  5209
   0  5210 144  64  16  -1  5210
   0  5211  96  56  40  -1   579
   1  5212   0   0  -1  -1  1303
   1  5213   0   0  -1  -1  5213
   1  5214   0   0  -1  -1  5214
   1  5215   0   0  -1  -1  5215
   1  5216   0   0  -1  -1   326
   0  5217 128  32   0   4  5217
   0  5218  56  20  16  -1  5218
   0  5219 288 136  16  -1  5219
   2  5220  32  16   0   2   145
   1  5221   0   0  -1  -1  5221
   1  5222   0   0  -1  -1  5222
   1  5223   0   0  -1  -1  5223
   0  5224  36  20  16  -1  1306
   0  5225  80  44  36  -1   209
   2  5226  80  40   0   2  5226
   0  5227 180 100  80  -1  5227
   0  5228 132  60  12  -1  1307
   1  5229   0   0  -1  -1   581
   1  5230   0   0  -1  -1  5230
   1  5231   0   0  -1  -1  5231
   1  5232   0   0  -1  -1   327
   0  5233  96  56  40  -1  5233
   0  5234 168  80   8  -1  5234
   0  5235 288 160 128  -1  5235
   1  5236   0   0  -1  -1  1309
   1  5237   0   0  -1  -1  5237
   1  5238   0   0  -1  -1   582
   1  5239   0   0  -1  -1    31
   1  5240   0   0  -1  -1  1310
   0  5241 176  84   8  -1  5241
   0  5242  84  52  32  -1  5242
   0  5243  36  12   0   3   107
   1  5244   0   0  -1  -1  1311
   1  5245   0   0  -1  -1  5245
   1  5246   0   0  -1  -1  5246
   1  5247   0   0  -1  -1   583
   0  5248   8   8   0   1    82
   0  5249 480 224  32  -1  5249
   2  5250  16   8   0   2   210
   0  5251 168  64  40  -1  5251
   0  5252  96  64  32  -1  1313
   1  5253   0   0  -1  -1  5253
   1  5254   0   0  -1  -1  5254
   1  5255   0   0  -1  -1  5255
   0  5256  32  12   8  -1   146
   0  5257 128  80  48  -1  5257
   0  5258 112  64  48  -1  5258
   2  5259 144  72   0   2  5259
   0  5260  72  40  32  -1  1315
   1  5261   0   0  -1  -1  5261
   1  5262   0   0  -1  -1  5262
   1  5263   0   0  -1  -1  5263
   0  5264  96  56  40  -1   329
   2  5265  32  16   0   2    65
   0  5266 104  48   8  -1  5266
   0  5267 168  88  80  -1  5267
   1  5268   0   0  -1  -1  1317
   1  5269   0   0  -1  -1  5269
   1  5270   0   0  -1  -1  5270
   1  5271   0   0  -1  -1  5271
   1  5272   0   0  -1  -1  1318
   2  5273 160  80   0   2  5273
   0  5274  36  20  16  -1   586
   0  5275  36  20  16  -1   211
   1  5276   0   0  -1  -1  1319
   1  5277   0   0  -1  -1  5277
   1  5278   0   0  -1  -1  5278
   1  5279   0   0  -1  -1  5279
   2  5280  16   8   0   2   330
   0  5281 208  84  40  -1  5281
   0  5282 128  68  60  -1  5282
   0  5283  84  44  40  -1   587
   2  5284  96  48   0   2  1321
   1  5285   0   0  -1  -1  5285
   1  5286   0   0  -1  -1  5286
   1  5287   0   0  -1  -1  5287
   0  5288  84  52  32  -1  1322
   0  5289 160  88  72  -1  5289
   0  5290   4   4   0   1    10
   0  5291 432 224 208  -1  5291
   0  5292   4   4   0   1     3
   1  5293   0   0  -1  -1  5293
   1  5294   0   0  -1  -1  5294
   1  5295   0   0  -1  -1  5295
   0  5296  36  12   0   3   331
   0  5297 288 152 136  -1  5297
   0  5298  80  36   8  -1  5298
   0  5299 144  80  64  -1  5299
   1  5300   0   0  -1  -1    53
   1  5301   0   0  -1  -1   589
   1  5302   0   0  -1  -1  5302
   1  5303   0   0  -1  -1  5303
   1  5304   0   0  -1  -1  1326
   0  5305 160  64  32  -1  5305
   2  5306 144  72   0   2  5306
   0  5307 144  64  16  -1  5307
   1  5308   0   0  -1  -1  1327
   1  5309   0   0  -1  -1  5309
   1  5310   0   0  -1  -1   590
   1  5311   0   0  -1  -1  5311
   0  5312  36  20  16  -1    83
   0  5313 192 112  80  -1  5313
   2  5314  64  32   0   2  5314
   0  5315 216 120  96  -1  5315
   0  5316 144  76  68  -1  1329
   1  5317   0   0  -1  -1  5317
   1  5318   0   0  -1  -1  5318
   1  5319   0   0  -1  -1   591
   2  5320  48  24   0   2  1330
   0  5321 352 168  16  -1  5321
   0  5322  64  40  24  -1  5322
   0  5323 180  84  12  -1  5323
   0  5324  12   4   0   3    11
   1  5325   0   0  -1  -1   213
   1  5326   0   0  -1  -1  5326
   1  5327   0   0  -1  -1  5327
   1  5328   0   0  -1  -1    37
   0  5329   2   2   0   1     1
   0  5330 208  96  16  -1  5330
   0  5331 240 128 112  -1  5331
   1  5332   0   0  -1  -1  1333
   1  5333   0   0  -1  -1  5333
   1  5334   0   0  -1  -1  5334
   1  5335   0   0  -1  -1  5335
   1  5336   0   0  -1  -1  1334
   0  5337  96  56  40  -1   593
   0  5338  48  40   8  -1  5338
   0  5339 408 192  24  -1  5339
   1  5340   0   0  -1  -1  1335
   1  5341   0   0  -1  -1   109
   1  5342   0   0  -1  -1  5342
   1  5343   0   0  -1  -1  5343
   1  5344   0   0  -1  -1   334
   0  5345 192  88  16  -1  5345
   0  5346  16   4   0   4    66
   0  5347 156  84  72  -1  5347
   0  5348  96  40  16  -1  1337
   1  5349   0   0  -1  -1  5349
   1  5350   0   0  -1  -1   214
   1  5351   0   0  -1  -1  5351
   0  5352  40  24  16  -1  1338
   0  5353 192  72  48  -1  5353
   0  5354 236 116   4  -1  5354
   0  5355  48  32  16  -1   595
   2  5356  96  48   0   2  1339
   1  5357   0   0  -1  -1  5357
   1  5358   0   0  -1  -1  5358
   1  5359   0   0  -1  -1  5359
   1  5360   0   0  -1  -1   335
   0  5361 240 116   8  -1  5361
   2  5362  48  24   0   2  5362
   0  5363 192  80  32  -1  5363
   1  5364   0   0  -1  -1   149
   1  5365   0   0  -1  -1  5365
   1  5366   0   0  -1  -1  5366
   1  5367   0   0  -1  -1  5367
   1  5368   0   0  -1  -1  1342
   0  5369 352 184 168  -1  5369
   0  5370 112  72  40  -1  5370
   0  5371 144  80  64  -1  5371
   1  5372   0   0  -1  -1  1343
   1  5373   0   0  -1  -1   597
   1  5374   0   0  -1  -1  5374
   1  5375   0   0  -1  -1   215
   1  5376   0   0  -1  -1    21
   0  5377  80  28  24  -1  5377
   0  5378 128  72  56  -1  5378
   0  5379 288 152 136  -1  5379
   0  5380  64  24  16  -1  1345
   1  5381   0   0  -1  -1  5381
   1  5382   0   0  -1  -1   598
   1  5383   0   0  -1  -1  5383
   2  5384  56  28   0   2  1346
   0  5385 192 112  80  -1  5385
   0  5386 100  60  40  -1  5386
   0  5387 276 140 136  -1  5387
   0  5388  72  32   8  -1  1347
   1  5389   0   0  -1  -1  5389
   1  5390   0   0  -1  -1   110
   1  5391   0   0  -1  -1   599
   0  5392  32  24   8  -1   337
   0  5393 288 136  16  -1  5393
   2  5394  80  40   0   2  5394
   0  5395 144  80  64  -1  5395
   1  5396   0   0  -1  -1  1349
   1  5397   0   0  -1  -1  5397
   1  5398   0   0  -1  -1  5398
   1  5399   0   0  -1  -1  5399
   1  5400   0   0  -1  -1     6
   0  5401 144  76  68  -1  5401
   0  5402 128  56  16  -1  5402
   0  5403 192  88  16  -1  5403
   1  5404   0   0  -1  -1  1351
   1  5405   0   0  -1  -1  5405
   1  5406   0   0  -1  -1  5406
   1  5407   0   0  -1  -1  5407
   0  5408   2   2   0   1     2
   0  5409  80  44  36  -1   601
   0  5410  88  40   8  -1  5410
   0  5411 408 200   8  -1  5411
   0  5412  64  48  16  -1  1353
   1  5413   0   0  -1  -1  5413
   1  5414   0   0  -1  -1  5414
   1  5415   0   0  -1  -1    15
   0  5416  44  20   4  -1  1354
   0  5417 288 160 128  -1  5417
   2  5418  48  24   0   2   602
   0  5419 156  76   4  -1  5419
   0  5420 144  64  16  -1  1355
   1  5421   0   0  -1  -1  5421
   1  5422   0   0  -1  -1  5422
   1  5423   0   0  -1  -1  5423
   0  5424  72  40  32  -1   339
   0  5425  32   8   0   4   217
   0  5426 104  56  48  -1  5426
   0  5427  12   4   0   3    67
   1  5428   0   0  -1  -1  1357
   1  5429   0   0  -1  -1  5429
   1  5430   0   0  -1  -1  5430
   1  5431   0   0  -1  -1  5431
   1  5432   0   0  -1  -1  1358
   0  5433 144  92  52  -1  5433
   0  5434  64  40  24  -1  5434
   0  5435 312 136  40  -1  5435
   1  5436   0   0  -1  -1   151
   1  5437   0   0  -1  -1  5437
   1  5438   0   0  -1  -1  5438
   1  5439   0   0  -1  -1   111
   1  5440   0   0  -1  -1    85
   0  5441 272 132   8  -1  5441
   0  5442 112  52   8  -1  5442
   0  5443 108  44  20  -1  5443
   0  5444 240 108  24  -1  1361
   1  5445   0   0  -1  -1     5
   1  5446   0   0  -1  -1  5446
   1  5447   0   0  -1  -1  5447
   0  5448  48  12   0   4  1362
   2  5449 224 112   0   2  5449
   0  5450  20   4   0   5   218
   0  5451 336 160  16  -1  5451
   0  5452  72  40  32  -1  1363
   1  5453   0   0  -1  -1  5453
   1  5454   0   0  -1  -1   606
   1  5455   0   0  -1  -1  5455
   1  5456   0   0  -1  -1   341
   0  5457 128  80  48  -1  5457
   0  5458  72  32   8  -1  5458
   0  5459 408 216 192  -1  5459
   1  5460   0   0  -1  -1  1365
   1  5461   0   0  -1  -1  5461
   1  5462   0   0  -1  -1  5462
   1  5463   0   0  -1  -1   607
   1  5464   0   0  -1  -1  1366
   2  5465 352 176   0   2  5465
   2  5466 160  80   0   2  5466
   2  5467  96  48   0   2  5467
   1  5468   0   0  -1  -1  1367
   1  5469   0   0  -1  -1  5469
   1  5470   0   0  -1  -1  5470
   1  5471   0   0  -1  -1  5471
   1  5472   0   0  -1  -1    38
   2  5473 160  80   0   2  5473
   2  5474 224 112   0   2  5474
   2  5475  48  24   0   2   219
   0  5476   2   2   0   1     1
   1  5477   0   0  -1  -1  5477
   1  5478   0   0  -1  -1  5478
   1  5479   0   0  -1  -1  5479
   0  5480  88  40   8  -1  1370
   2  5481  64  32   0   2   609
   0  5482  52  12   4  -1  5482
   0  5483 204  76  52  -1  5483
   0  5484 144  80  64  -1  1371
   1  5485   0   0  -1  -1  5485
   1  5486   0   0  -1  -1  5486
   1  5487   0   0  -1  -1  5487
   1  5488   0   0  -1  -1     7
   0  5489 336 156  24  -1  5489
   0  5490  24  16   8  -1   610
   0  5491  12   4   0   3    19
   1  5492   0   0  -1  -1  1373
   1  5493   0   0  -1  -1  5493
   1  5494   0   0  -1  -1  5494
   1  5495   0   0  -1  -1  5495
   1  5496   0   0  -1  -1  1374
   0  5497  96  40  16  -1  5497
   0  5498 124  60   4  -1  5498
   0  5499 120  56   8  -1   611
   1  5500   0   0  -1  -1    55
   1  5501   0   0  -1  -1  5501
   1  5502   0   0  -1  -1  5502
   1  5503   0   0  -1  -1  5503
   1  5504   0   0  -1  -1    86
   0  5505 160  72  16  -1  5505
   2  5506  88  44   0   2  5506
   0  5507 276 148 128  -1  5507
   0  5508  16   4   0   4    17
   1  5509   0   0  -1  -1  5509
   1  5510   0   0  -1  -1  5510
   1  5511   0   0  -1  -1  5511
   0  5512  40  24  16  -1  1378
   0  5513 224  96  32  -1  5513
   0  5514 120  64  56  -1  5514
   0  5515 120  72  48  -1  5515
   2  5516 192  96   0   2  1379
   1  5517   0   0  -1  -1   613
   1  5518   0   0  -1  -1  5518
   1  5519   0   0  -1  -1  5519
   0  5520  32  24   8  -1   345
   0  5521 240 140 100  -1  5521
   0  5522 144  84  60  -1  5522
   0  5523 144  64  16  -1  5523
   1  5524   0   0  -1  -1  1381
   1  5525   0   0  -1  -1   221
   1  5526   0   0  -1  -1   614
   1  5527   0   0  -1  -1  5527
   1  5528   0   0  -1  -1  1382
   0  5529 352 184 168  -1  5529
   0  5530  80  32  16  -1  5530
   0  5531 276 140 136  -1  5531
   1  5532   0   0  -1  -1  1383
   1  5533   0   0  -1  -1  5533
   1  5534   0   0  -1  -1  5534
   1  5535   0   0  -1  -1   615
   0  5536  20  12   8  -1   346
   0  5537  32  24   8  -1   113
   0  5538  64  24  16  -1  5538
   0  5539 216 120  96  -1  5539
   0  5540 192  88  16  -1  1385
   1  5541   0   0  -1  -1  5541
   1  5542   0   0  -1  -1  5542
   1  5543   0   0  -1  -1  5543
   2  5544  16   8   0   2   154
   2  5545  96  48   0   2  5545
   2  5546 160  80   0   2  5546
   0  5547   4   4   0   1     3
   2  5548  48  24   0   2  1387
   1  5549   0   0  -1  -1  5549
   1  5550   0   0  -1  -1   222
   1  5551   0   0  -1  -1  5551
   0  5552  60  28   4  -1   347
   0  5553  48  20   8  -1   617
   0  5554 120  72  48  -1  5554
   0  5555 288 160 128  -1  5555
   1  5556   0   0  -1  -1  1389
   1  5557   0   0  -1  -1  5557
   1  5558   0   0  -1  -1  5558
   1  5559   0   0  -1  -1  5559
   1  5560   0   0  -1  -1  1390
   0  5561 528 268 260  -1  5561
   0  5562  24  16   8  -1   618
   0  5563 180 100  80  -1  5563
   1  5564   0   0  -1  -1  1391
   1  5565   0   0  -1  -1  5565
   1  5566   0   0  -1  -1    46
   1  5567   0   0  -1  -1  5567
   1  5568   0   0  -1  -1    87
   2  5569 128  64   0   2  5569
   0  5570 120  64  56  -1  5570
   0  5571  60  36  24  -1   619
   2  5572  64  32   0   2  1393
   1  5573   0   0  -1  -1  5573
   1  5574   0   0  -1  -1  5574
   1  5575   0   0  -1  -1   223
   0  5576  96  40  16  -1  1394
   0  5577  16  12   4  -1    33
   0  5578  68  52  16  -1  5578
   0  5579 360 184 176  -1  5579
   0  5580  48  32  16  -1   155
   1  5581   0   0  -1  -1  5581
   1  5582   0   0  -1  -1  5582
   1  5583   0   0  -1  -1  5583
   1  5584   0   0  -1  -1   349
   0  5585 384 184  16  -1  5585
   0  5586  16  12   4  -1   114
   2  5587  96  48   0   2  5587
   1  5588   0   0  -1  -1  1397
   1  5589   0   0  -1  -1    69
   1  5590   0   0  -1  -1  5590
   1  5591   0   0  -1  -1  5591
   1  5592   0   0  -1  -1  1398
   2  5593 128  64   0   2  5593
   0  5594 204  84  36  -1  5594
   0  5595 144  64  16  -1  5595
   1  5596   0   0  -1  -1  1399
   1  5597   0   0  -1  -1  5597
   1  5598   0   0  -1  -1   622
   1  5599   0   0  -1  -1  5599
   1  5600   0   0  -1  -1    14
   0  5601 240 132 108  -1  5601
   2  5602  56  28   0   2  5602
   0  5603 264 136 128  -1  5603
   0  5604 112  52   8  -1  1401
   1  5605   0   0  -1  -1  5605
   1  5606   0   0  -1  -1  5606
   1  5607   0   0  -1  -1   623
   0  5608  28   4   0   7  1402
   0  5609 352 168  16  -1  5609
   2  5610  96  48   0   2  5610
   0  5611 120  72  48  -1  5611
   0  5612 168 104  64  -1  1403
   1  5613   0   0  -1  -1  5613
   1  5614   0   0  -1  -1  5614
   1  5615   0   0  -1  -1  5615
   1  5616   0   0  -1  -1    39
   0  5617 192 112  80  -1  5617
   0  5618   2   2   0   1     2
   0  5619 336 152  32  -1  5619
   1  5620   0   0  -1  -1  1405
   1  5621   0   0  -1  -1  5621
   1  5622   0   0  -1  -1  5622
   1  5623   0   0  -1  -1  5623
   1  5624   0   0  -1  -1  1406
   0  5625   2   2   0   1     1
   0  5626 120  64  56  -1  5626
   0  5627 336 152  32  -1  5627
   1  5628   0   0  -1  -1  1407
   1  5629   0   0  -1  -1  5629
   1  5630   0   0  -1  -1  5630
   1  5631   0   0  -1  -1  5631
   1  5632   0   0  -1  -1    22
   0  5633 304 148   8  -1  5633
   0  5634  72  40  32  -1   626
   0  5635  24   8   0   3   115
   0  5636 144  68   8  -1  1409
   1  5637   0   0  -1  -1  5637
   1  5638   0   0  -1  -1  5638
   1  5639   0   0  -1  -1  5639
   0  5640  64  24  16  -1  1410
   0  5641 160  64  32  -1  5641
   0  5642 160  64  32  -1  5642
   0  5643  48  40   8  -1   627
   2  5644  48  24   0   2  1411
   1  5645   0   0  -1  -1  5645
   1  5646   0   0  -1  -1  5646
   1  5647   0   0  -1  -1  5647
   2  5648  64  32   0   2   353
   0  5649 224 120 104  -1  5649
   2  5650  16   8   0   2   226
   0  5651 372 188 184  -1  5651
   1  5652   0   0  -1  -1   157
   1  5653   0   0  -1  -1  5653
   1  5654   0   0  -1  -1  5654
   1  5655   0   0  -1  -1  5655
   1  5656   0   0  -1  -1  1414
   2  5657 224 112   0   2  5657
   0  5658  64  48  16  -1  5658
   0  5659 228 124 104  -1  5659
   1  5660   0   0  -1  -1  1415
   1  5661   0   0  -1  -1   629
   1  5662   0   0  -1  -1  5662
   1  5663   0   0  -1  -1  5663
   0  5664  32  20  12  -1   354
   0  5665 160 104  56  -1  5665
   2  5666 160  80   0   2  5666
   0  5667 120  88  32  -1  5667
   0  5668  64  24  16  -1  1417
   1  5669   0   0  -1  -1  5669
   1  5670   0   0  -1  -1    70
   1  5671   0   0  -1  -1  5671
   0  5672  68  28  12  -1  1418
   0  5673 160  72  16  -1  5673
   0  5674  60  36  24  -1  5674
   0  5675  60  28   4  -1   227
   2  5676 144  72   0   2  1419
   1  5677   0   0  -1  -1  5677
   1  5678   0   0  -1  -1  5678
   1  5679   0   0  -1  -1   631
   0  5680  48  32  16  -1   355
   0  5681 256 144 112  -1  5681
   0  5682  96  68  28  -1  5682
   0  5683 132  76  56  -1  5683
   1  5684   0   0  -1  -1    29
   1  5685   0   0  -1  -1  5685
   1  5686   0   0  -1  -1  5686
   1  5687   0   0  -1  -1    47
   1  5688   0   0  -1  -1   158
   0  5689 208 108 100  -1  5689
   0  5690 144  80  64  -1  5690
   0  5691 288 160 128  -1  5691
   1  5692   0   0  -1  -1  1423
   1  5693   0   0  -1  -1  5693
   1  5694   0   0  -1  -1  5694
   1  5695   0   0  -1  -1  5695
   0  5696  48  20   8  -1    89
   0  5697  80  28  24  -1   633
   0  5698  64  48  16  -1  5698
   0  5699 288 160 128  -1  5699
   0  5700  16  12   4  -1    57
   1  5701   0   0  -1  -1  5701
   1  5702   0   0  -1  -1  5702
   1  5703   0   0  -1  -1  5703
   0  5704  64  40  24  -1  1426
   0  5705 224 104  16  -1  5705
   0  5706  28  12   4  -1   634
   0  5707  96  32   0   3  5707
   0  5708 180  76  28  -1  1427
   1  5709   0   0  -1  -1  5709
   1  5710   0   0  -1  -1  5710
   1  5711   0   0  -1  -1  5711
   1  5712   0   0  -1  -1   357
   0  5713  96  32   0   3  5713
   0  5714 160  76   8  -1  5714
   0  5715 120  56   8  -1   635
   1  5716   0   0  -1  -1  1429
   1  5717   0   0  -1  -1  5717
   1  5718   0   0  -1  -1  5718
   1  5719   0   0  -1  -1  5719
   1  5720   0   0  -1  -1  1430
   0  5721 240 100  40  -1  5721
   0  5722  76  36   4  -1  5722
   0  5723 168  96  72  -1  5723
   1  5724   0   0  -1  -1   159
   1  5725   0   0  -1  -1   229
   1  5726   0   0  -1  -1  5726
   1  5727   0   0  -1  -1  5727
   1  5728   0   0  -1  -1   358
   0  5729 416 200  16  -1  5729
   0  5730  96  32   0   3  5730
   0  5731 240 128 112  -1  5731
   0  5732 144  60  24  -1  1433
   1  5733   0   0  -1  -1    13
   1  5734   0   0  -1  -1  5734
   1  5735   0   0  -1  -1  5735
   2  5736  64  32   0   2  1434
   0  5737 144  76  68  -1  5737
   2  5738 176  88   0   2  5738
   0  5739 264 128   8  -1  5739
   0  5740  48  16   0   3  1435
   1  5741   0   0  -1  -1  5741
   1  5742   0   0  -1  -1   638
   1  5743   0   0  -1  -1  5743
   1  5744   0   0  -1  -1   359
   0  5745 224 136  88  -1  5745
   2  5746   8   4   0   2    34
   2  5747 288 144   0   2  5747
   1  5748   0   0  -1  -1  1437
   1  5749   0   0  -1  -1  5749
   1  5750   0   0  -1  -1   230
   1  5751   0   0  -1  -1    71
   1  5752   0   0  -1  -1  1438
   0  5753 240 116   8  -1  5753
   0  5754  80  32  16  -1  5754
   0  5755 144  80  64  -1  5755
   1  5756   0   0  -1  -1  1439
   1  5757   0   0  -1  -1  5757
   1  5758   0   0  -1  -1  5758
   1  5759   0   0  -1  -1  5759
   0  5760   4   4   0   1    10
   0  5761 224 104  16  -1  5761
   0  5762 112  60  52  -1  5762
   0  5763 144  80  64  -1  5763
   0  5764 112  52   8  -1  1441
   1  5765   0   0  -1  -1  5765
   1  5766   0   0  -1  -1     6
   1  5767   0   0  -1  -1  5767
   0  5768  48  32  16  -1  1442
   0  5769 112  60  52  -1   641
   0  5770  72  40  32  -1  5770
   0  5771 528 272 256  -1  5771
   2  5772  96  48   0   2  1443
   1  5773   0   0  -1  -1  5773
   1  5774   0   0  -1  -1  5774
   1  5775   0   0  -1  -1   231
   0  5776   2   2   0   1     1
   0  5777 192  88  16  -1  5777
   0  5778  32  20  12  -1   642
   0  5779 156  76   4  -1  5779
   1  5780   0   0  -1  -1     5
   1  5781   0   0  -1  -1  5781
   1  5782   0   0  -1  -1   118
   1  5783   0   0  -1  -1  5783
   1  5784   0   0  -1  -1  1446
   0  5785 128  80  48  -1  5785
   0  5786 160  88  72  -1  5786
   0  5787  36  12   0   3   643
   1  5788   0   0  -1  -1  1447
   1  5789   0   0  -1  -1  5789
   1  5790   0   0  -1  -1  5790
   1  5791   0   0  -1  -1  5791
   0  5792  36  20  16  -1   362
   0  5793 176  84   8  -1  5793
   2  5794 136  68   0   2  5794
   0  5795 384 176  32  -1  5795
   2  5796  64  32   0   2   161
   1  5797   0   0  -1  -1  5797
   1  5798   0   0  -1  -1  5798
   1  5799   0   0  -1  -1  5799
   0  5800   4   4   0   1    58
   0  5801 448 232 216  -1  5801
   0  5802  72  16   8  -1  5802
   0  5803 120  56   8  -1  5803
   0  5804 156  76   4  -1  1451
   1  5805   0   0  -1  -1   645
   1  5806   0   0  -1  -1  5806
   1  5807   0   0  -1  -1  5807
   0  5808   4   4   0   1     3
   2  5809 160  80   0   2  5809
   0  5810 208  88  32  -1  5810
   0  5811 144  64  16  -1  5811
   1  5812   0   0  -1  -1  1453
   1  5813   0   0  -1  -1  5813
   1  5814   0   0  -1  -1   646
   1  5815   0   0  -1  -1  5815
   1  5816   0   0  -1  -1  1454
   0  5817 128  80  48  -1  5817
   0  5818  52  28  24  -1  5818
   0  5819  12   4   0   3    11
   1  5820   0   0  -1  -1  1455
   1  5821   0   0  -1  -1  5821
   1  5822   0   0  -1  -1  5822
   1  5823   0   0  -1  -1   647
   0  5824  24   8   0   3    91
   0  5825  48  20   8  -1   233
   0  5826 112  60  52  -1  5826
   0  5827 180  76  28  -1  5827
   0  5828  96  56  40  -1  1457
   1  5829   0   0  -1  -1  5829
   1  5830   0   0  -1  -1  5830
   1  5831   0   0  -1  -1   119
   0  5832   2   2   0   1     2
   0  5833 112  52   8  -1  5833
   0  5834 220 116 104  -1  5834
   0  5835 144  64  16  -1  5835
   0  5836 132  60  12  -1  1459
   1  5837   0   0  -1  -1  5837
   1  5838   0   0  -1  -1  5838
   1  5839   0   0  -1  -1  5839
   1  5840   0   0  -1  -1   365
   0  5841  80  44  36  -1   649
   0  5842  48  32  16  -1  5842
   0  5843 300 132  36  -1  5843
