Distribution r(n); n < 10^4.

Obtained (r(n), total n) :
(0: 4257), (>0: 5742), (1: 4995), (2: 747).

Where the sum of 0 and even values is almost equal 
to that of odd values, as conjectured.

Notes:
a, b : number of solutions to each eqn.
m, q : m=(a mod b); q=(a / b) as rational number.

r(n)     n   a   b   m   q  core(n)
   0   452  32  24   8  -1   113
   1   453   0   0  -1  -1   453
   1   454   0   0  -1  -1   454
   1   455   0   0  -1  -1   455
   0   456  16  12   4  -1   114
   2   457  32  16   0   2   457
   0   458  52  20  12  -1   458
   0   459  24  16   8  -1    51
   0   460  24   8   0   3   115
   1   461   0   0  -1  -1   461
   1   462   0   0  -1  -1   462
   1   463   0   0  -1  -1   463
   1   464   0   0  -1  -1    29
   2   465  64  32   0   2   465
   0   466  16   4   0   4   466
   0   467  84  28   0   3   467
   1   468   0   0  -1  -1    13
   1   469   0   0  -1  -1   469
   1   470   0   0  -1  -1   470
   1   471   0   0  -1  -1   471
   1   472   0   0  -1  -1   118
   0   473  48  20   8  -1   473
   0   474  40  24  16  -1   474
   0   475  12   4   0   3    19
   1   476   0   0  -1  -1   119
   1   477   0   0  -1  -1    53
   1   478   0   0  -1  -1   478
   1   479   0   0  -1  -1   479
   1   480   0   0  -1  -1    30
   0   481  64  24  16  -1   481
   0   482  40  12   4  -1   482
   0   483  48  16   0   3   483
   0   484   2   2   0   1     1
   1   485   0   0  -1  -1   485
   1   486   0   0  -1  -1     6
   1   487   0   0  -1  -1   487
   0   488  20  12   8  -1   122
   0   489  80  44  36  -1   489
   0   490   4   4   0   1    10
   0   491 108  60  48  -1   491
   0   492  24   8   0   3   123
   1   493   0   0  -1  -1   493
   1   494   0   0  -1  -1   494
   1   495   0   0  -1  -1    55
   1   496   0   0  -1  -1    31
   0   497  96  40  16  -1   497
   0   498  16   4   0   4   498
   0   499  36  20  16  -1   499
   1   500   0   0  -1  -1     5
   1   501   0   0  -1  -1   501
   1   502   0   0  -1  -1   502
   1   503   0   0  -1  -1   503
   1   504   0   0  -1  -1    14
   2   505  32  16   0   2   505
   0   506  56  32  24  -1   506
   0   507   4   4   0   1     3
   1   508   0   0  -1  -1   127
   1   509   0   0  -1  -1   509
   1   510   0   0  -1  -1   510
   1   511   0   0  -1  -1   511
   0   512   2   2   0   1     2
   0   513  16  12   4  -1    57
   2   514  32  16   0   2   514
   0   515  72  40  32  -1   515
   0   516  48  20   8  -1   129
   1   517   0   0  -1  -1   517
   1   518   0   0  -1  -1   518
   1   519   0   0  -1  -1   519
   0   520   8   8   0   1   130
   0   521 128  56  16  -1   521
   0   522   4   4   0   1    58
   0   523  60  20   0   3   523
   0   524  60  36  24  -1   131
   1   525   0   0  -1  -1    21
   1   526   0   0  -1  -1   526
   1   527   0   0  -1  -1   527
   0   528  16  12   4  -1    33
   0   529   2   2   0   1     1
   0   530  56  24   8  -1   530
   0   531  36  20  16  -1    59
   1   532   0   0  -1  -1   133
   1   533   0   0  -1  -1   533
   1   534   0   0  -1  -1   534
   1   535   0   0  -1  -1   535
   1   536   0   0  -1  -1   134
   0   537  48  36  12  -1   537
   0   538  20   4   0   5   538
   0   539  12   4   0   3    11
   1   540   0   0  -1  -1    15
   1   541   0   0  -1  -1   541
   1   542   0   0  -1  -1   542
   1   543   0   0  -1  -1   543
   2   544   8   4   0   2    34
   0   545 128  72  56  -1   545
   2   546  48  24   0   2   546
   0   547  36  12   0   3   547
   2   548  32  16   0   2   137
   1   549   0   0  -1  -1    61
   1   550   0   0  -1  -1    22
   1   551   0   0  -1  -1   551
   2   552  16   8   0   2   138
   0   553  32  24   8  -1   553
   0   554  44  20   4  -1   554
   0   555  48  32  16  -1   555
   0   556  36  20  16  -1   139
   1   557   0   0  -1  -1   557
   1   558   0   0  -1  -1    62
   1   559   0   0  -1  -1   559
   0   560  24   8   0   3    35
   2   561  64  32   0   2   561
   0   562  16  12   4  -1   562
   0   563 108  52   4  -1   563
   1   564   0   0  -1  -1   141
   1   565   0   0  -1  -1   565
   1   566   0   0  -1  -1   566
   1   567   0   0  -1  -1     7
   1   568   0   0  -1  -1   142
   0   569 128  56  16  -1   569
   0   570  32   8   0   4   570
   0   571  60  36  24  -1   571
   1   572   0   0  -1  -1   143
   1   573   0   0  -1  -1   573
   1   574   0   0  -1  -1   574
   1   575   0   0  -1  -1    23
   0   576   2   2   0   1     1
   0   577  32  24   8  -1   577
   0   578   2   2   0   1     2
   0   579  96  56  40  -1   579
   2   580  32  16   0   2   145
   1   581   0   0  -1  -1   581
   1   582   0   0  -1  -1   582
   1   583   0   0  -1  -1   583
   0   584  32  12   8  -1   146
   2   585  32  16   0   2    65
   0   586  36  20  16  -1   586
   0   587  84  44  40  -1   587
   0   588   4   4   0   1     3
   1   589   0   0  -1  -1   589
   1   590   0   0  -1  -1   590
   1   591   0   0  -1  -1   591
   1   592   0   0  -1  -1    37
   0   593  96  56  40  -1   593
   0   594  16   4   0   4    66
   0   595  48  32  16  -1   595
   1   596   0   0  -1  -1   149
   1   597   0   0  -1  -1   597
   1   598   0   0  -1  -1   598
   1   599   0   0  -1  -1   599
   1   600   0   0  -1  -1     6
   0   601  80  44  36  -1   601
   2   602  48  24   0   2   602
   0   603  12   4   0   3    67
   1   604   0   0  -1  -1   151
   1   605   0   0  -1  -1     5
   1   606   0   0  -1  -1   606
   1   607   0   0  -1  -1   607
   1   608   0   0  -1  -1    38
   2   609  64  32   0   2   609
   0   610  24  16   8  -1   610
   0   611 120  56   8  -1   611
   0   612  16   4   0   4    17
   1   613   0   0  -1  -1   613
   1   614   0   0  -1  -1   614
   1   615   0   0  -1  -1   615
   2   616  16   8   0   2   154
   0   617  48  20   8  -1   617
   0   618  24  16   8  -1   618
   0   619  60  36  24  -1   619
   0   620  48  32  16  -1   155
   1   621   0   0  -1  -1    69
   1   622   0   0  -1  -1   622
   1   623   0   0  -1  -1   623
   1   624   0   0  -1  -1    39
   0   625   2   2   0   1     1
   0   626  72  40  32  -1   626
   0   627  48  40   8  -1   627
   1   628   0   0  -1  -1   157
   1   629   0   0  -1  -1   629
   1   630   0   0  -1  -1    70
   1   631   0   0  -1  -1   631
   1   632   0   0  -1  -1   158
   0   633  80  28  24  -1   633
   0   634  28  12   4  -1   634
   0   635 120  56   8  -1   635
   1   636   0   0  -1  -1   159
   1   637   0   0  -1  -1    13
   1   638   0   0  -1  -1   638
   1   639   0   0  -1  -1    71
   0   640   4   4   0   1    10
   0   641 112  60  52  -1   641
   0   642  32  20  12  -1   642
   0   643  36  12   0   3   643
   2   644  64  32   0   2   161
   1   645   0   0  -1  -1   645
   1   646   0   0  -1  -1   646
   1   647   0   0  -1  -1   647
   0   648   2   2   0   1     2
   0   649  80  44  36  -1   649
   0   650  12   4   0   3    26
   2   651  96  48   0   2   651
   0   652  12  12   0   1   163
   1   653   0   0  -1  -1   653
   1   654   0   0  -1  -1   654
   1   655   0   0  -1  -1   655
   2   656  32  16   0   2    41
   0   657  16  12   4  -1    73
   2   658  16   8   0   2   658
   0   659 132  68  64  -1   659
   1   660   0   0  -1  -1   165
   1   661   0   0  -1  -1   661
   1   662   0   0  -1  -1   662
   1   663   0   0  -1  -1   663
   1   664   0   0  -1  -1   166
   0   665  96  56  40  -1   665
   0   666  20  12   8  -1    74
   0   667  48  16   0   3   667
   1   668   0   0  -1  -1   167
   1   669   0   0  -1  -1   669
   1   670   0   0  -1  -1   670
   1   671   0   0  -1  -1   671
   0   672   8   0  -1  -1    42
   0   673  48  12   0   4   673
   2   674  48  24   0   2   674
   0   675   4   4   0   1     3
   0   676   2   2   0   1     1
   1   677   0   0  -1  -1   677
   1   678   0   0  -1  -1   678
   1   679   0   0  -1  -1   679
   0   680  24  16   8  -1   170
   0   681  80  44  36  -1   681
   0   682  24   8   0   3   682
   0   683  60  28   4  -1   683
   0   684  12   4   0   3    19
   1   685   0   0  -1  -1   685
   1   686   0   0  -1  -1    14
   1   687   0   0  -1  -1   687
   0   688  12  12   0   1    43
   2   689 160  80   0   2   689
   0   690  32   8   0   4   690
   0   691  60  28   4  -1   691
   1   692   0   0  -1  -1   173
   1   693   0   0  -1  -1    77
   1   694   0   0  -1  -1   694
   1   695   0   0  -1  -1   695
   1   696   0   0  -1  -1   174
   0   697  32  24   8  -1   697
   0   698  52  36  16  -1   698
   0   699 120  48  24  -1   699
   1   700   0   0  -1  -1     7
   1   701   0   0  -1  -1   701
   1   702   0   0  -1  -1    78
   1   703   0   0  -1  -1   703
   0   704  12   4   0   3    11
   0   705  96  40  16  -1   705
   0   706  48  32  16  -1   706
   0   707  72  40  32  -1   707
   0   708  16  12   4  -1   177
   1   709   0   0  -1  -1   709
   1   710   0   0  -1  -1   710
   1   711   0   0  -1  -1    79
   0   712  16   4   0   4   178
   0   713  96  40  16  -1   713
   0   714  48  32  16  -1   714
   0   715  48  16   0   3   715
   0   716  60  28   4  -1   179
   1   717   0   0  -1  -1   717
   1   718   0   0  -1  -1   718
   1   719   0   0  -1  -1   719
   1   720   0   0  -1  -1     5
   2   721  64  32   0   2   721
   0   722   2   2   0   1     2
   2   723  48  24   0   2   723
   1   724   0   0  -1  -1   181
   1   725   0   0  -1  -1    29
   1   726   0   0  -1  -1     6
   1   727   0   0  -1  -1   727
   1   728   0   0  -1  -1   182
   0   729   2   2   0   1     1
   0   730  24  16   8  -1   730
   2   731 144  72   0   2   731
   1   732   0   0  -1  -1   183
   1   733   0   0  -1  -1   733
   1   734   0   0  -1  -1   734
   1   735   0   0  -1  -1    15
   1   736   0   0  -1  -1    46
   0   737  80  28  24  -1   737
   0   738   8   8   0   1    82
   0   739  60  28   4  -1   739
   0   740  64  40  24  -1   185
   1   741   0   0  -1  -1   741
   1   742   0   0  -1  -1   742
   1   743   0   0  -1  -1   743
   0   744  24   8   0   3   186
   0   745  64  24  16  -1   745
   0   746  52  28  24  -1   746
   0   747  36  20  16  -1    83
   0   748  24  16   8  -1   187
   1   749   0   0  -1  -1   749
   1   750   0   0  -1  -1    30
   1   751   0   0  -1  -1   751
   1   752   0   0  -1  -1    47
   0   753  48  20   8  -1   753
   0   754  40  16   8  -1   754
   0   755 144  80  64  -1   755
   1   756   0   0  -1  -1    21
   1   757   0   0  -1  -1   757
   1   758   0   0  -1  -1   758
   1   759   0   0  -1  -1   759
   1   760   0   0  -1  -1   190
   2   761 160  80   0   2   761
   0   762  24   8   0   3   762
   0   763  48  32  16  -1   763
   1   764   0   0  -1  -1   191
   1   765   0   0  -1  -1    85
   1   766   0   0  -1  -1   766
   1   767   0   0  -1  -1   767
   0   768   4   4   0   1     3
   0   769  80  36   8  -1   769
